time,x,y,z
0.0,0.0,0.0,0.0
0.01,0.5020954700712901,0.383841409895931,0.4292108785533933
0.02,0.9791698064997105,0.7520694285417795,0.8436599885149996
0.03,1.4339415783008556,1.1054020483634222,1.2449802474516154
0.04,1.8675544456595532,1.4458624900662427,1.6340027272316457
0.05,2.282813381682506,1.7727227951839446,2.0111265264979816
0.060000000000000005,2.6799573235771446,2.0867540752544724,2.3779451089931145
0.07,3.06084049961914,2.390434047614555,2.7343482178780087
0.08,3.4268972793352552,2.6841804534793163,3.0812237999213252
0.09,3.78033086780787,2.968392676855704,3.419362407178308
0.09999999999999999,4.121769776183746,3.24361738569136,3.7496492249402085
0.10999999999999999,4.450815609990388,3.5102088144157926,4.072670504294014
0.11999999999999998,4.768688896761469,3.7684055982885045,4.388407332878413
0.12999999999999998,5.076717893909622,4.019251412177817,4.697098183794857
0.13999999999999999,5.3747085326750135,4.263414102691581,4.998758970621788
0.15,5.663142038912017,4.500667756286579,5.294231195353584
0.16,5.944389379177715,4.7314338704811085,5.583317088178627
0.17,6.217371133938431,4.955429845091921,5.865841653502768
0.18000000000000002,6.482233789710843,5.173085736160068,6.143290763545334
0.19000000000000003,6.7407483919495315,5.384749661410308,6.416079859001265
0.20000000000000004,6.992160413995803,5.590926548826817,6.684418006631406
0.21000000000000005,7.2384393688535695,5.791754069519572,6.948193424467871
0.22000000000000006,7.479159565318241,5.987904351117565,7.207319732100286
0.23000000000000007,7.714178328832366,6.178901661618355,7.46246069314336
0.24000000000000007,7.944048736389536,6.364930795666619,7.712909183590074
0.25000000000000006,8.168682854191267,6.546297923771786,7.959987919178763
0.26000000000000006,8.388664471207965,6.724232708741838,8.203354475179001
0.2700000000000001,8.604014148699092,6.898095912190992,8.442262751334507
0.2800000000000001,8.814653920486762,7.068576303766147,8.676860301848052
0.2900000000000001,9.020840072446896,7.235660914885788,8.907994772274238
0.3000000000000001,9.222949888209419,7.398936810367289,9.136164958816636
0.3100000000000001,9.421608915534014,7.5584547683852765,9.360928456425581
0.3200000000000001,9.616840673998034,7.715095341574596,9.58212448744332
0.3300000000000001,9.808569069351392,7.869102040689887,9.800616332003663
0.34000000000000014,9.996143994353552,8.019960997784082,10.015762421476515
0.35000000000000014,10.179308909409455,8.168021178672822,10.228161055286662
0.36000000000000015,10.359501885098165,8.313013628031328,10.437963279667715
0.37000000000000016,10.535636213234895,8.455294825094997,10.645050910401734
0.38000000000000017,10.708680605225087,8.594399418144562,10.84993322754306
0.3900000000000002,10.878632796406762,8.729687753199121,11.05220515357081
